Title, Source, Date, Content, URL, Category
New measures to tackle virus spread is not consistent with going ahead with a General Election,Theonlinecitizen.com,29/3/2020,Authorities have issued a whole host of new regulations to enforce social distancing amidst the outbreak of COVID-19. On top of that; the Ministry of Education (MOE) has also announced that its schools will implement one day of Home-Based Learning (HBL) once …,https://www.theonlinecitizen.com/2020/03/29/new-measures-to-tackle-virus-spread-is-not-consistent-with-going-ahead-with-a-general-election/,Singapore
ICA cancels passport of Singaporean for breaching Stay-Home Notice requirements,Theonlinecitizen.com,29/3/2020,The Immigration & Checkpoints Authority (ICA) shared in a press release on Sunday that it has cancelled the passport of a 53-year-old male Singapore Citizen; Goh Illya Victor; for breaching the Stay-Home Notice (SHN) requirements and also referred to the Mini…,https://www.theonlinecitizen.com/2020/03/29/ica-cancels-passport-of-singaporean-for-breaching-stay-home-notice-requirements/,Singapore
70 additional cases of COVID-19 confirmed; 41 imported cases from various countries,Theonlinecitizen.com,28/3/2020,As of 28 March 2020; 12 pm; the Ministry of Health (MOH) has confirmed and verified an additional 70 cases of COVID-19 infection in Singapore; of which 41 are imported and 29 are local cases who have no recent travel history abroad. This makes a total of 802 …,https://www.theonlinecitizen.com/2020/03/28/70-additional-cases-of-covid-19-confirmed-41-imported-cases-from-various-countries/,Singapore
Dr Tan Cheng Bock: Obvious choice between an early election which may cause a far worse health crisis and a legal constitutional problem,Theonlinecitizen.com,28/3/2020,Dr Tan Cheng Bock said that the choice is obvious between holding an early election and potentially causing a far worse health crisis or delay the upcoming General Election (GE) to 2021 and face a possible constitutional problem if the election cannot be held…,https://www.theonlinecitizen.com/2020/03/28/dr-tan-cheng-bock-obvious-choice-between-an-early-election-which-may-cause-a-far-worse-health-crisis-and-a-legal-constitutional-problem/,Singapore
What are we to make of an opposition that is reduced to being a mere spectator in a crisis?,Theonlinecitizen.com,28/3/2020,The opposition watches and waits out the crisis while the government hogs the headlines and sucks up all the oxygen. As the COVID-19 pandemic rages on; the opposition finds itself sidelined; perhaps even crippled. Apart from objecting to the spectre of a COVI…,https://www.theonlinecitizen.com/2020/03/28/what-are-we-to-make-of-an-opposition-that-is-reduced-to-being-a-mere-spectator-in-a-crisis/,World
49 additional cases of COVID-19 confirmed by MOH; New cluster at SingPost Centre,Theonlinecitizen.com,27/3/2020,As of Friday (27 March 2020); 12pm; the Ministry of Health (MOH) has confirmed and verified an additional 49 cases of COVID-19 infection in Singapore; of which 22 are imported and 27 are local cases who have no recent travel history abroad. This makes a total…,https://www.theonlinecitizen.com/2020/03/27/49-additional-cases-of-covid-19-confirmed-by-moh-new-cluster-at-singpost-centre/,Singapore
HOME volunteer emphasises importance of negotiating compensation between FDWs and employers on rest days during Stay-Home Notice period,Theonlinecitizen.com,27/3/2020,The Government’s move to issue 14-day Stay-Home Notices (SHN) to those who have recently travelled abroad in the midst of the COVID-19 outbreak poses an issue to certain foreign domestic workers (FDWs); as their employers may see the SHN as a loophole to make…,https://www.theonlinecitizen.com/2020/03/27/home-volunteer-emphasises-importance-of-negotiating-compensation-between-fdws-and-employers-on-rest-days-during-stay-home-notice-period/,World
Resilience Budget: Arts and culture sector to receive additional S$55 million aid package; support in upskilling and digitalisation,Theonlinecitizen.com,27/3/2020,Singapore’s arts and culture industry will receive an additional S$55 million in aid through a specific package in a S$48 billion supplementary budget announced by Deputy Prime Minister Heng Swee Keat yesterday (26 Mar). The additional funding; said Mr Heng; …,https://www.theonlinecitizen.com/2020/03/27/resilience-budget-arts-and-culture-sector-to-receive-additional-s55-million-aid-package-support-in-upskilling-and-digitalisation/,Business
Sudden closure of all PCF Sparkletots centres due to COVID-19 cluster in Fengshan branch; catches parents by surprise,Theonlinecitizen.com,27/3/2020,It was reported in the media yesterday (26 Mar) that children and some of their parents at a PAP Community Foundation (PCF) Sparkletots centre in Fengshan have been served with quarantine orders. Furthermore; all PCF Sparkletots centres were closed for four d…,https://www.theonlinecitizen.com/2020/03/27/sudden-closure-of-all-pcf-sparkletots-centres-catches-parents-by-surprise/,Singapore
Ex-grassroots leader with “clean record” jailed for molesting child of daughter’s neighbour,Theonlinecitizen.com,27/3/2020,A grandfather; 69; who is a former grassroots leader was sentenced by the court today (27 Mar) to three years and three months behind bars for molestation. His daughter frequently watched over her neighbors daughter along with her own children. However; when …,https://www.theonlinecitizen.com/2020/03/27/ex-grassroots-leader-with-clean-record-jailed-for-molesting-child-of-daughters-neighbour/,World
British PM Johnson tests positive for COVID-19,Theonlinecitizen.com,27/3/2020,British Prime Minister Boris Johnson announced on Friday that he is self-isolating after testing positive for COVID-19. “Over the last 24 hours I have developed mild symptoms and tested positive for coronavirus;” he said on Twitter; posting a video message. “…,https://www.theonlinecitizen.com/2020/03/27/british-pm-johnson-tests-positive-for-covid-19/,World
UK PM Boris Johnson tests positive for COVID-19,Theonlinecitizen.com,27/3/2020,The United Kingdom’s Prime Minister Boris Johnson on Fri (27 Mar) revealed that he was tested positive for the novel coronavirus (COVID-19). Stating that he had “developed mild symptoms” of the virus “over the last 24 hours”; Mr Johnson confirmed that he is n…,https://www.theonlinecitizen.com/2020/03/27/uk-pm-boris-johnson-tests-positive-for-covid-19/,World
